BESC_Genotype,Genotype,Longitude,Latitude,Region
BESC-286,West-1,-121.9699289,47.845951,Western
BESC-319,West-2,-121.7329027,47.85509851,Western
BESC-405,West-3,-122.089363,48.52342403,Western
BESC-430,West-4,-122.0129564,48.51789616,Western
BESC-803,West-5,-122.2017492,47.07671827,Western
MCMN-27-5,West-6,-122.5833333,49.18333333,Western
VNDL-27-5,West-7,-122.1,49.15,Western
BESC-1239,East-1,-121.6326167,45.32185278,Eastern
BESC-1247,East-2,-117.2574,46.02751667,Eastern
CW-1207,East-3,-115.7865083,46.12636111,Eastern
YK-1215,East-4,-120.4754111,46.88362778,Eastern
YK-UNK,East-5,-120.5247694,46.95082778,Eastern
