"Taxon","Bhat","Gm_mean","Gm_se"
"Alternaria",1.46403527550668,1.46018522189132,1.09259214294389
"Aureobasidium",0.670238872847006,0.669760626525066,1.09788268324335
"Cladosporium",0.855308332922721,0.858051913335001,1.13616503722373
"Dioszegia",0.278262006395464,0.278221524494243,1.10596155998485
"Epicoccum",1.5659582418104,1.56196804775107,1.1333036085227
"Fusarium",2.78566249415155,2.79058946304515,1.11007094677601
"Melampsora",8.56641092019315,8.56752129901014,1.06332035002998
"Penicillium",0.2140465749878,0.214457591037316,1.09765229656094
"Trichoderma",0.535335903014835,0.534814824096332,1.0705685460881
