"","Genotype","Region","pctLesion.se","pctLesion","pctRust.se","pctRust","Cluster"
"1","East-1","Eastern",0.0793828658438835,0.310852188210662,0.0550467422765627,0.110665826119113,"susceptible"
"2","East-2","Eastern",0.106866859187063,0.298694968642057,0.0374421803574198,0.0683684244127513,"susceptible"
"3","East-3","Eastern",0.0337774303499434,0.164152401619163,0.00881295718171151,0.0310318126470175,"susceptible"
"4","East-4","Eastern",0.0300888691261586,0.0785109959414153,0.00686678648897852,0.0148487053031877,"susceptible"
"5","East-5","Eastern",0.0212833220179152,0.12968729385921,0.00265559991393439,0.0118010531805597,"susceptible"
"6","West-1","Western",0.0092820117323264,0.0239860779175905,2.21681521455969e-06,0.00172215867998649,"resistant"
"7","West-2","Western",0.00253151930024163,0.00670646994568851,4.21378298785931e-05,0.00178120008726148,"resistant"
"8","West-3","Western",0.00603320232271091,0.0177082449165753,0.000450545696383403,0.00292132880748194,"resistant"
"9","West-4","Western",0.0180471083839781,0.033380645259286,0.00160231778536413,0.00362128608420615,"resistant"
"10","West-5","Western",0.0578407724073017,0.336528902356332,0.00950086482716008,0.0423450332854498,"susceptible"
"11","West-6","Western",0.0197893004561403,0.0332689375662255,0.000112090010021859,0.00186138997592287,"resistant"
"12","West-7","Western",0.0132210818141026,0.0303422373055603,0.000666422843712959,0.00277649829549676,"resistant"
